town,district_abb,district,district_page,min_lot_size_gt_orig,min_lot_size_gt,min_lot_size_page_gt,min_unit_size_gt_orig,min_unit_size_gt,min_unit_size_page_gt,max_height_gt_orig,max_height_gt,max_height_page_gt,max_lot_coverage_gt_orig,max_lot_coverage_gt,max_lot_coverage_page_gt,max_lot_coverage_pavement_gt_orig,max_lot_coverage_pavement_gt,max_lot_coverage_pavement_page_gt,min_parking_spaces_gt_orig,min_parking_spaces_gt,min_parking_spaces_page_gt,review,notes
andover,AL,Andover Lake,14,60000 (year-round); 30000 (seasonal),,97,500,500,41,35,35,97,,,,12,12,97,2,2,103,,
ansonia,AA,AA Residence,17,0.69,30000,"52,150",,,,35,35,150,20,20,150,40,40,150,2,2,67,,
ashford,TD,Technology Development,21,,,,900,900,29,35,35,49,40,25,49,60,60,49,2,2,73,,
avon,IP,Industrial Park,"1,2",,,,,,,,,,,,,,,,,,,,
barkhamsted,B-1,Restricted Business,11,,43560,20,,750,20,,35,21,,,,,40,20,,2,30,,"missing values for all fields, max lot coverage def on separate page"
barkhamsted,B-2,General Business,11,,87120,20,,750,20,,35,21,,,,,40,20,,2,30,,"missing values for all fields, max lot coverage def on separate page"
beacon-falls,PARD-3,Planned Adaptive Reuse Development 3,8,142,6185520,121,1200,1200,121,,35,121,,20,121,,25,121,2,2,84,,
berlin,GI,General Industrial,33,,21780,102,,,,,45,102,,35,102,,80,102,,2,133,,
berlin,VDO,Village Overlay,33,,,,,,,,,,,,,,,,,2,133,,
bethany,HOD,Housing Opportunity Development,70,30,1306800,70,,,,35,35,71,10,10,71,20,20,71,2,2,49,,district not mentioned in the main list of districts
bethel,C,Commercial,,0.23,10000,72,,,,40,40,73,,,73,,,73,2,2,127,,no single list of zones
bloomfield,IND-1,I-1 General Industry,,,,,,,,,60,64,,,64,,50,64,,2,128,,no single list of zones
bolton,GB,General Buiness,59,,,,,,,,40,112,,25,112,,65,112,,2,134,,
bozrah,I-30,Industrial-30,"9,10",,30000,26,,,,,35,26,,30,26,,,,,2,59,,
branford,R-3,Residence R-3,9,0.34,15000,40,,,,35,35,40,,25,40,25,,,2,2,113,,districts are defined in a somewhat complex table
branford,MF,Multifamily Residence,9,3,130680,40,,,,35,35,40,,20,40,20,50,40,2,2,113,,orig lot coverage incorrect
branford-pine-orchard,A-1,A-1,8,0.46,20000,20,,,,,,,,,,,,,,2,24,,
branford-short-beach,SB-C,Business C,12,0.1,4500,23,600,600,25,30,30,24,30,30,25,70,85,25,2,2,26,,orig lot coverage incorrect
bridgeport,MXN,Mixed Use Neighborhood Corners,10,,,,,,,46,,,,,,95,,,,0.5,235,,"Does not conform to this standard, requirements are based on use, not zone"
bridgeport,MX2,Mixed Use Corridor,10,,,,,,,74,,,,,,95,,,,0.5,235,,"Does not conform to this standard, requirements are based on use, not zone"
bridgewater,C,Commercial,26,,130680,31,,,,,35,31,,10,31,,50,32,,2,45,,"I honestly do not know which is which, max lot coverage def on separate page"
bristol,R-40,Residential R-40,30,,40000,47,,,,35,35,47,20,20,47,,,,2,2,94,,
brookfield,TCD-P,Town Center Perimeter Overlay,,0.23,10000,85,,,,,42,85,,,,,80,85,,2,124,,no single list of zones
brooklyn,IND,Industrial,,,87120,86,,,,,35,86,,,86,,,86,,2,164,,no single list of zones
brooklyn,RB,Restricted Business,,0.459,20000,"74,228",,,,35,35,"74,228",20,20,74,80,80,74,2,2,164,,no single list of zones
burlington,I,Industrial,5,1,43560,58,,,,35,35,58,,,,25,25,58,2,2,61,,No min unit size for I zone?
canaan-falls-village,Rural Business,Rural Business,,0.92,40000,21,,,,35,35,21,25,25,21,50,50,21,,2,44,,no single list of zones
canterbury,VC,Village Commercial,,,60000,28,,,,35,35,28,15,,,,,,,2,61,,no single list of zones
canton,R-3,R-3 Residential,,87120 (front); 130680 (rear),,70,,,,35,35,74,10,10,74,30,30,74,2,2,136,,no single list of zones; lot coverage requires 2-step table lookup
chaplin,AZ,Aquifer Protection,15,,,,,,,,,,,,,,,,,2,38,,
cheshire,R-20A,Residential R-20A,18,,20000,90,,,,40,40,90,,,,35,35,90,2,2,94,,
chester,TW2,Tidal Wetlands,13,2,87120,34,,,,35,35,34,15,15,34,,,,,2,62,,
clinton,B-2,Business-2,,0.23,10000,334,"900 for 1 story, 500 ground floor area for 2 story",,,,,,,,,,,,,,,,no single list of zones
