town,district,term,gt_page,searched_pages,searched_pages_expanded,expected,expected_extended,rationale,extracted_text,actual,correct_page_searched,actual_normalized,expected_normalized,correct_answer
andover,Andover Lake,min_lot_size,[97],[63],[64 65 66 67 62 63],,60000 (year-round); 30000 (seasonal),"The document mentions the minimum lot size for the ARD district in two different contexts. For parcels greater than 10 acres, a standard conventional subdivision with a minimum lot size of 60,000 sq. ft. is permitted by Special Permit. For parcels less than or equal to 10 acres, a standard conventional subdivision with a minimum lot size of 60,000 sq. ft. is permitted as of right.","['5b.0.2 On Parcels greater than 10 acres ARD Standard Conventional Subdivisions having minimum\nlot sizes of 60,000 sq. ft. is permitted by Special Permit.'
 '5b.0.3 On parcels less than or equal to 10 acers ARD, Standard Conventional Subdivision/Re-\nsubdivision of land having minimum lot sizes of 60,000 sq. ft. is permitted As of Right.']","60,000 sq ft",False,60000.0,,True
andover,Andover Lake,min_lot_size,[97],[22],[21 22 23 24 25],,60000 (year-round); 30000 (seasonal),,,,False,,,True
andover,Andover Lake,min_lot_size,[97],[135],[136 137 134 135],,60000 (year-round); 30000 (seasonal),The document explicitly states the minimum lot size for the Andover Lake District.,['Minimum lot size shall be ten (10) contiguous acres.'],10 acres,False,435600.0,,False
andover,Andover Lake,min_lot_size,[97],[189],[192 188 189 190 191],,60000 (year-round); 30000 (seasonal),The section titled 'Recommended minimum lot size' says the answer explicitly.,['d. Recommended minimum lot size: 3 acres'],3 acres,False,130680.0,,False
ansonia,AA Residence,min_lot_size,[ 52 150],[151],[150 151],30000,0.69,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (5, 3): \n30,000']","30,000 sq ft",True,30000.0,30000.0,True
ansonia,AA Residence,min_lot_size,[ 52 150],[167],[168 166 167],30000,0.69,,,,False,,30000.0,False
ansonia,AA Residence,min_lot_size,[ 52 150],[103],[104 105 102 103],30000,0.69,The table under the section titled 'ZONING DISTRICTS' provides the minimum lot area for the AA district.,"['Minimum lot area (sq. ft.)\n20,000']","20,000 sq ft",False,20000.0,30000.0,False
ansonia,AA Residence,min_lot_size,[ 52 150],[52],[51 52 53 54],30000,0.69,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (3, 2): \n30,000']","30,000 sq ft",True,30000.0,30000.0,True
ansonia,AA Residence,min_lot_size,[ 52 150],[132],[131 132 133 134 135],30000,0.69,The document explicitly states the minimum lot area for the AA district.,['The minimum lot area shall be fifteen (15) acres.'],15 acres,False,653400.0,30000.0,False
ashford,Technology Development,min_lot_size,[],[22],[21 22 23 24 25],,,,,,True,,,True
avon,Industrial Park,min_lot_size,[],[54],[56 53 54 55],,,"The document mentions the minimum lot area for the Industrial Park Zone in two different instances. The first instance states a minimum lot area of 5 acres and the second instance states a minimum lot area of 40,000 sq. ft.","['CELL (1, 2): \n5 acres' 'CELL (1, 2): \n40,000 sq. ft.']","5 acres; 40,000 sq ft",False,217800.0,,False
avon,Industrial Park,min_lot_size,[],[54],[56 53 54 55],,,"The document mentions the minimum lot area for the Industrial Park Zone in two different instances. The first instance states a minimum lot area of 5 acres and the second instance states a minimum lot area of 40,000 sq. ft.","['CELL (1, 2): \n5 acres' 'CELL (1, 2): \n40,000 sq. ft.']","5 acres; 40,000 sq ft",False,40000.0,,False
avon,Industrial Park,min_lot_size,[],[69],[68 69 70],,,The minimum lot size for the Industrial Park (IP) zone is mentioned explicitly in the document.,"['CELL (1, 2): \n40,000 sq. ft.' 'CELL (3, 8): \n40,000']","40,000 sq ft",False,40000.0,,False
avon,Industrial Park,min_lot_size,[],[84],[83 84 85],,,,,,True,,,True
avon,Industrial Park,min_lot_size,[],[74],[73 74 75 76],,,,,,True,,,True
barkhamsted,Restricted Business,min_lot_size,[20],[10],[ 9 10 11 12],43560,,The section titled RA-2 Residence Zone explicitly states the minimum lot size.,['RA-2 Residence Zone [minimum lot size two (2) acres]'],2 acres,False,87120.0,43560.0,False
barkhamsted,Restricted Business,min_lot_size,[20],[21],[20 21],43560,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (3, 2): \n1']",1 acre,True,43560.0,43560.0,True
