town,district,term,gt_page,searched_pages,searched_pages_expanded,expected,expected_extended,label,expanded_pages,pages,confirmed_flag,confirmed_raw,actual_before_confirmation,rationale,extracted_text,actual,correct_page_searched
creola,mobile county,min_lot_size,[42],[42],"[41, 42, 43]","15,000","15,000",,"[41, 42, 43, 15, 16, 17, 18, 60, 61, 62, 63, 55, 56, 57, 58, 1, 2, 3, 4, 73, 74, 75, 68, 69, 70, 42, 43, 40, 41, 42, 14, 15, 16, 17]","[42, 16, 61, 56, 2, 74, 69, 43, 41, 15]",True,Y,"15,000 sq ft",The cell that corresponds to the value for minimum lot area for single-family homes in the R-2 Medium Density Residential district has this answer.,"['CELL (7, 2): \n15,000']","15,000 sq ft",True
martindale,caldwell county,min_lot_size,[23],[24],"[24, 25, 23]",R-2,R-2,,"[33, 23, 24, 25, 26, 27, 28, 20, 21, 22, 39, 40, 34, 35, 30, 31, 32, 2, 3, 4, 36, 37, 38, 32, 33]","[34, 24, 27, 21, 40, 35, 31, 3, 37, 33]",True,Y,"7,300 sq ft",The section titled 'Property development standards' for the R-3 District explicitly states the minimum lot size for single-family detached dwelling units.,"['(C) Property development standards. Each site in the R-3 District shall be subject to the following property development\nstandards.\n(1) Lot size.\n(a) Single-family detached. The minimum lot size for single-family detached dwelling units shall be 7,300 square feet.']","7,300 sq ft",True
elgin,bastrop county,min_lot_size,[90],[223],"[224, 225, 222, 223]","area of not less than 7,500 square feet.","area of not less than 7,500 square feet.",,"[222, 223, 224, 225, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 253, 254, 255, 256, 195, 196, 197, 198, 199, 243, 244, 245, 246, 247, 248, 11, 12, 13, 14, 15, 16, 17, 18, 19, 224, 225, 226, 227, 79, 80, 81, 82, 83, 84, 85, 86, 77, 78, 79, 80, 81, 82, 83, 84]","[223, 79, 87, 254, 196, 244, 12, 225, 80, 78]",True,Y,"7,500 sq ft",The section titled 'Lot area' under the R-2 Single-Family and Duplex Dwelling District regulations specifies the minimum lot area required for each dwelling.,"['For each dwelling, and building accessory thereto, there shall be a lot area of not less than 7,500\nsquare feet.']","7,500 sq ft",True
austin,travis county,min_lot_size,[11],[12],"[11, 12, 13]","Single-family residence large lot (SF-1) district is the designation for a low density single-family residential use on a lot that is a minimum of 10,000 square feet. An","Single-family residence large lot (SF-1) district is the designation for a low density single-family residential use on a lot that is a minimum of 10,000 square feet. An",,"[79, 80, 81, 113, 114, 115, 180, 181, 182, 183, 61, 62, 63, 59, 60, 49, 146, 147, 148, 11, 12, 13, 187, 188, 189, 190, 191, 192, 193]","[80, 114, 181, 62, 60, 50, 147, 12, 188, 191]",True,Y,"10,000 sq ft",The section titled § 25-2-55 SINGLE FAMILY RESIDENCE LARGE LOT (SF-1) DISTRICT DESIGNATION explicitly states the minimum lot size for the SF-1 district.,"['Single-family residence large lot (SF-1) district is the designation for a low density single-family residential use on a lot that is a minimum of 10,000 square feet.']","10,000 sq ft",True
seabrook,chambers county,min_lot_size,[45],[27],"[26, 27, 28]","area of 6,000 square feet in area.","area of 6,000 square feet in area.",,"[27, 28, 29, 22, 23, 24, 72, 73, 74, 47, 48, 49, 44, 45, 46, 116, 117, 118, 119, 64, 65, 66, 102, 103, 104, 26, 27, 28, 28, 29, 30]","[28, 23, 73, 48, 45, 117, 65, 103, 27, 29]",False,N,"8,000 sq ft",,,,True
fallon,churchill county,min_lot_size,[22],[18],"[17, 18, 19, 20, 21]",All areas in R-1 single family residence district shall be identified with minimum lot size designations.,All areas in R-1 single family residence district shall be identified with minimum lot size designations.,,"[17, 18, 19, 20, 21, 10, 11, 12, 13, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 16, 17, 18, 19, 20, 18, 19, 20, 21, 22, 19, 20, 21, 22, 23, 15, 16, 17, 18, 19, 14, 15, 16, 17, 18, 9, 10, 11, 12, 13]","[18, 11, 23, 28, 17, 19, 20, 16, 15, 10]",True,Y,1 acre,The section titled '21.31.050 - Required lot area and width' for the E-2 first estates district explicitly states the minimum lot size required for each dwelling.,['The required lot area and width in an E-2 first estates district shall be one acre minimum area and one\nhundred feet average width for each dwelling.'],1 acre,True
stafford,fort bend county,min_lot_size,[49],[28],"[27, 28, 29, 30, 31]","2,700","2,700",,"[27, 28, 29, 30, 31, 22, 23, 24, 25, 26, 274, 275, 276, 277, 202, 203, 204, 205, 39, 40, 41, 42, 43, 185, 186, 187, 188, 279, 280, 281, 282, 256, 257, 258, 259, 134, 135, 136, 26, 27, 28, 29, 30]","[28, 23, 275, 203, 40, 186, 280, 257, 135, 27]",False,N,"5,000 sq ft",,,,False
buda,hays county,min_lot_size,[52],[42],"[41, 42, 43, 44, 45]",6000 sf,6000 sf,,"[114, 115, 116, 117, 118, 107, 108, 109, 110, 111, 112, 6, 7, 8, 9, 10, 119, 120, 121, 122, 123, 124, 46, 47, 48, 49, 50, 51, 52, 55, 56, 57, 58, 59, 60, 41, 42, 43, 44, 45, 147, 148, 149, 150, 115, 116, 117, 118, 119, 116, 117, 118, 119, 120]","[115, 108, 7, 120, 47, 56, 42, 148, 116, 117]",False,N,"12,000 sq ft",,,,True
montgomery,montgomery county,min_lot_size,[54],[55],"[54, 55, 56, 57, 58]",Lot area. No building shall be constructed on or moved,Lot area. No building shall be constructed on or moved,,"[54, 55, 56, 57, 58, 50, 51, 52, 53, 8, 9, 10, 11, 12, 2, 3, 4, 5, 6, 56, 57, 58, 59, 60, 57, 58, 59, 60, 61, 51, 52, 53, 54, 55, 52, 53, 54, 55, 56, 53, 54, 55, 56, 57, 55, 56, 57, 58, 59]","[55, 51, 9, 3, 57, 58, 52, 53, 54, 56]",False,N,"9,000 sq ft",,,,True
willis,montgomery county,min_lot_size,[73],[49],"[48, 49, 50]",154.37.,154.37.,,"[81, 82, 83, 72, 73, 74, 58, 59, 48, 49, 50, 84, 85, 86, 12, 13, 14, 69, 70, 71, 66, 67, 68, 64, 65, 80, 81, 82]","[82, 73, 59, 49, 85, 13, 70, 67, 65, 81]",True,Y,"7,000 sq ft","The section titled 'Minimum lot sizes; general provisions' specifies the minimum lot size for residential uses, which is the information we are looking for.","['(e) The minimum 7,000\nsquare feet area.']","7,000 sq ft",True
