Town,District Abbrev.,District,min_lot_size_page_gt,min_unit_size_page_gt,min_lot_size_gt,min_unit_size_gt
vernon,R-10,R-10 Single Family Residential,33,33,10000,1000
milford,CDD-1,Community Design,121,121,10000,"300, 400, 800, 1200"
westbrook,RR,Rural Residential,19,-,87120,-
franklin,R-80,R-80 Residential,15,-,80000,-
westport,AAA,Residence AAA-2 Acre,78,-,87120,-
madison,R-1,R-1 Residential,38,-,40000,-
bethany,R-130,Residential R-130,22,-,130000,-
avon,R-30,Residential R-30,32,33,30000,1000
union,SD,Special Development,-,57,-,1000
marlborough,R,Residential,86,-,"50000, 80000, 120000",-
