,min_lot_size_page,min_lot_size,min_lot_size_topk_pages,min_lot_size_score,min_lot_size_page_score,min_lot_size_page_recall,min_unit_size_page,min_unit_size,min_unit_size_topk_pages,min_unit_size_score,min_unit_size_page_score,min_unit_size_page_recall
0,46,[40000.0],"[46, 39, 40, 48]",1.0,0,1,-1,[],[],1.0,1,1
1,71,[],"[71, 70, 69, 72]",0.0,1,1,71,[],"[71, 70, 72]",1.0,0,0
2,27,[],"[27, 26, 29, 51]",0.0,0,0,60,[],[60],0.0,0,0
3,10,[],"[10, 27, 7, 75]",0.0,0,0,83,[],"[83, 82]",1.0,0,0
4,236,[15000.0],"[236, 237, 177, 178]",0.0,0,0,-1,[],[],1.0,1,1
5,35,[32737.5],"[35, 37, 34, 36]",0.0,0,0,-1,[],[],1.0,1,1
6,41,[40000.0],"[41, 42, 44, 43]",1.0,0,1,-1,[],[],0.0,0,0
7,55,"[43650.0, 87300.0]","[55, 56, 102, 62]",0.0,0,0,55,[],"[55, 56, 54, 62]",0.0,0,0
8,19,"[40000.0, 40000.0, 25000.0, 40000.0]","[19, 20, 21, 13]",0.0,0,0,23,"[700.0, 1000.0, 1200.0]","[23, 24, 25, 26]",1.0,0,0
9,159,[16000.0],"[159, 158, 157, 205]",0.0,0,0,-1,[],[],1.0,1,1
