Jurisdiction,AbbreviatedDistrict,Full District Name,Type of Zoning District ,Is it an Overlay District?,1-Family,2-Family,3-Family,4+-Family,1-Family Min. Lot (ACRES),2-Family Min. Lot (ACRES),3-Family Min. Lot (ACRES),4+-Family Min. Lot (ACRES)
Andover,AL,Andover Lake,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.38 (year-round); 0.69 (seasonal),,,
Andover,ARD,Andover Rural Design,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.37741046831955,,,
Andover,B,Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.459136822773186,0.46,,
Andover,FP,Floodplain,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Andover,I,Industrial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.918273645546372,0.92,,
Ansonia,A,A Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Special Permit,5,,,
Ansonia,AA,AA Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
Ansonia,AAA,AAA Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.38,,,
Ansonia,B,B Residence,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Special Permit,4,4,,
Ansonia,BB,BB Multifamily Residence,Primarily Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,0.17,,
Ansonia,C,C Central Commercial,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Ansonia,CP,CP Commerce Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ansonia,GA,GA Multifamily Residence,Primarily Residential,Yes,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,
Ansonia,HI,HI Heavy Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ansonia,LI,LI Light Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ansonia,NR,NR Neighborhood-Retail,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ansonia,RR,RR Multifamily Residence-Retail,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.08,0.08,,
Ashford,GC,General Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ashford,IID,Interstate Interchange Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
